Text,Language,text_length,text_length_log
it's not worth it i personally love the phrase you rock which means you're amazing.,English,83,4.430816798843313
you rock you rock?,English,18,2.9444389791664403
"no, you've done an amazing job.",English,31,3.4657359027997265
"you rock if somebody's not working really well, and you want them to work harder you can say you should go an extra mile which means like work harder you should go an extra mile .",English,179,5.19295685089021
another way to say the very same thing you can say step up your game like work harder work better step up your game.,English,116,4.762173934797756
if somebody's crying and doesn't want it.,English,41,3.7376696182833684
it sinks you say pull yourself together like literally take yourself and pull yourself together stop working stop crying pull yourself together.,English,144,4.976733742420574
hey calm down yourself together another phrase that .,English,53,3.9889840465642745
i love you sold me because sometimes people describe their trip or somebody they bought and they describe it is so well.,English,120,4.795790545596741
"and they're like i want to buy the same thing and i tell them you sold it you sold me i wouldn't buy this alright, you sold me if you're not interested in the conversation.",English,172,5.153291594497779
you're like sitting you can say i could not care less this is so boring.,English,72,4.290459441148391
i'm not interested.,English,19,2.995732273553991
i couldn't care less if somebody's asking you something and this is a really easy decision for you like somebody tells you take my 1 million dollars and you say this is a no-brainer.,English,182,5.209486152841421
i'll take it.,English,13,2.6390573296152584
this is a no-brainer means it's a really easy decision for you if you've done something wrong and you admit it you can say i screwed up yes guys.,English,145,4.983606621708336
i know.,English,7,2.0794415416798357
i screwed up.,English,13,2.6390573296152584
this is my mistake.,English,19,2.995732273553991
i screwed up i screwed it up if you want somebody to work instead of me you can say.,English,84,4.442651256490317
can you cover me like can you work instead of me while i'm seeing my friend.,English,76,4.343805421853684
can you cover me it's time to leave and guys i'd better be going which means i should go already.,English,97,4.584967478670572
it's you know.,English,14,2.70805020110221
it's actually 1 9 p.m.. right now.,English,34,3.5553480614894135
i'd better be going another way to say goodbye.,English,47,3.871201010907891
"i can say take care, which means take care of yourself.",English,55,4.02535169073515
i'll see you later.,English,19,2.995732273553991
take care.,English,10,2.3978952727983707
"i don't know what day is it when you're watching this video, but if it's friday for example weekend.",English,100,4.61512051684126
you can say thank heavens is friday or think heavens said saturday weekend discovery.,English,85,4.454347296253507
i'm so happy this was it guys 50 phrases in english let me know if this was helpful by liking this video and commenting below if you know any more cool phrases.,English,160,5.081404364984463
that would be great there's a red button over there somewhere.,English,62,4.143134726391533
hello and welcome.,English,18,2.9444389791664403
in this video i will give you 100 common and very useful sentences that you can use in conversation.,English,100,4.61512051684126
when you hear a sentence practice saying it after me.,English,53,3.9889840465642745
try to copy my pronunciation exactly including the tone of voice that i use.,English,76,4.343805421853684
alright let's begin.,English,20,3.044522437723423
basic greetings how's it going?,English,31,3.4657359027997265
how are things?,English,15,2.772588722239781
what's up?,English,10,2.3978952727983707
nice to meet you.,English,17,2.8903717578961645
"long time, no see.",English,18,2.9444389791664403
how have you been?,English,18,2.9444389791664403
"great, thanks.",English,14,2.70805020110221
how about you?,English,14,2.70805020110221
not much.,English,9,2.302585092994046
the usual.,English,10,2.3978952727983707
i've got to get going.,English,22,3.1354942159291497
it was a pleasure meeting you see you later.,English,44,3.8066624897703196
stay in touch.,English,14,2.70805020110221
asking for information.,English,23,3.1780538303479458
could you tell me what this word means?,English,39,3.6888794541139363
would you happen to know where the library is?,English,46,3.8501476017100584
hesitating.,English,11,2.4849066497880004
that's a good question.,English,23,3.1780538303479458
let me see.,English,11,2.4849066497880004
let me think for a moment.,English,26,3.295836866004329
asking for repetition.,English,22,3.1354942159291497
excuse me?,English,10,2.3978952727983707
"sorry, i didn't catch that.",English,27,3.332204510175204
would you mind repeating that?,English,30,3.4339872044851463
"can you speak a little more slowly, please?",English,43,3.784189633918261
"saying ""i don't know"".",English,22,3.1354942159291497
i'm afraid i have no idea.,English,26,3.295836866004329
"can't help you there, sorry.",English,28,3.367295829986474
beats me.,English,9,2.302585092994046
opinions.,English,9,2.302585092994046
what do you think about that?,English,29,3.4011973816621555
what are your views on this?,English,28,3.367295829986474
i think that's a good idea.,English,27,3.332204510175204
i honestly don't think it's going to work.,English,42,3.7612001156935624
"as far as i'm concerned, this is the best restaurant in town.",English,61,4.127134385045092
avoiding a question.,English,20,3.044522437723423
i don't have an opinion on the matter.,English,38,3.6635616461296463
let me get back to you on that.,English,31,3.4657359027997265
i'm not at liberty to say.,English,26,3.295836866004329
agreeing and disagreeing.,English,25,3.258096538021482
i couldn't agree more.,English,22,3.1354942159291497
you're absolutely right.,English,24,3.2188758248682006
i agree with you 100%.,English,22,3.1354942159291497
you hit the nail on the head.,English,29,3.4011973816621555
i'm not sure i agree.,English,21,3.091042453358316
i'm afraid i disagree.,English,22,3.1354942159291497
i think you're mistaken.,English,24,3.2188758248682006
interrupting politely.,English,22,3.1354942159291497
sorry to interrupt you.,English,23,3.1780538303479458
can i stop you there for a moment?,English,34,3.5553480614894135
do you mind if i jump in here?,English,30,3.4339872044851463
go ahead.,English,9,2.302585092994046
sure go on.,English,11,2.4849066497880004
let me finish.,English,14,2.70805020110221
hold on for a moment.,English,21,3.091042453358316
suggestions.,English,12,2.5649493574615367
what do you say we go to the movies?,English,36,3.6109179126442243
how about having pizza for dinner tonight?,English,42,3.7612001156935624
that would be great.,English,20,3.044522437723423
sounds good to me.,English,18,2.9444389791664403
i'm not sure about that.,English,24,3.2188758248682006
"no, i don't think so.",English,21,3.091042453358316
making plans.,English,13,2.6390573296152584
what are you doing tonight?,English,27,3.332204510175204
got any plans for tomorrow?,English,27,3.332204510175204
are you free next saturday?,English,27,3.332204510175204
do you want to do something this weekend?,English,41,3.7376696182833684
"sure, what do you have in mind?",English,31,3.4657359027997265
"i'm free all weekend, let's do something.",English,41,3.7376696182833684
"no, sorry, i've already mad some plans.",English,39,3.6888794541139363
i'm kind of busy tomorrow.,English,26,3.295836866004329
i'd love to do something but i can't.,English,37,3.6375861597263857
permission.,English,11,2.4849066497880004
do you mind if i use your cell phone?,English,37,3.6375861597263857
would it be okay if i took the day off tomorrow?,English,48,3.8918202981106265
"yes, please do sure, go ahead.",English,30,3.4339872044851463
"no, not at all.",English,15,2.772588722239781
"unfortunately, i have to say no.",English,32,3.4965075614664802
i'd rather you didn't.,English,22,3.1354942159291497
i'm afraid i do.,English,16,2.833213344056216
making requests.,English,16,2.833213344056216
"could you pass me the salt, please?",English,35,3.58351893845611
would you mind lending me some money?,English,37,3.6375861597263857
i was wondering if yo could help me with this.,English,46,3.8501476017100584
"sure, no problem.",English,17,2.8903717578961645
"yeah, of course.",English,16,2.833213344056216
i'd be glad to help.,English,20,3.044522437723423
"sorry, i can't right now.",English,25,3.258096538021482
i'm afraid i can't.,English,19,2.995732273553991
making offers.,English,14,2.70805020110221
can i get you a glass of water?,English,31,3.4657359027997265
how about some ice cream?,English,25,3.258096538021482
would you like me to give yo a ride home?,English,41,3.7376696182833684
"yes, please.",English,12,2.5649493574615367
"that would be great, thanks.",English,28,3.367295829986474
i'm ok but thanks for offering.,English,31,3.4657359027997265
"no, i'm good, thanks.",English,21,3.091042453358316
thanking people.,English,16,2.833213344056216
thanks a million.,English,17,2.8903717578961645
cheers i really appreciate it.,English,30,3.4339872044851463
that's very kind of you.,English,24,3.2188758248682006
i can't thank you enough.,English,25,3.258096538021482
it's nothing.,English,13,2.6390573296152584
don't mention it.,English,17,2.8903717578961645
any time.,English,9,2.302585092994046
my pleasure.,English,12,2.5649493574615367
asking someone to wait.,English,23,3.1780538303479458
"can you hold on  moment, please?",English,32,3.4965075614664802
hang on one second.,English,19,2.995732273553991
bear with me just a moment.,English,27,3.332204510175204
i'll be right with you.,English,23,3.1780538303479458
apologizing.,English,12,2.5649493574615367
i'm really sorry about that.,English,28,3.367295829986474
please accept my apologies.,English,27,3.332204510175204
don't worry about it.,English,21,3.091042453358316
no worries.,English,11,2.4849066497880004
"alright, if you want more lessons on common sentences and phrases let me know in the comments section below.",English,108,4.6913478822291435
also if you liked this video give it a thumbs up by hitting the like button and remember to subscribe to this channel by clicking the subscribe button to get my latest lessons right here on youtube.,English,198,5.293304824724492
happy learning and i will see you in another lesson soon.,English,57,4.060443010546419
the golden bread once upon a time in a tiny village there lived a woman named marion.,English,85,4.454347296253507
with her only daughter narcisa marion was extremely humble and sweet narcisa however was completely the opposite you see she was beautiful beyond words she was like a living.,English,174,5.1647859739235145
doll and the most amusing part is she loved herself to no ends narcisa would you.,English,81,4.406719247264253
help me bake the bread huh no way mom the flour maids all my bright and sparkly eyes.,English,85,4.454347296253507
narcisa would you help me plant these seeds what why would i do that what have i got all that dirt on my lovely fingers worse what if it went onto my face well that was the problem with narcisa.,English,194,5.272999558563747
she thought herself too great to do any work many suitors came to ask for narcissus hand in marriage.,English,101,4.624972813284271
since her beauty was known far and wide but she rejected them all very rudely why did you send those men away yesterday they seemed nice you can't be serious mom one of them.,English,174,5.1647859739235145
had such small eyes almost like a bird's and the other had a huge nose i wouldn't want to be near him.,English,102,4.634728988229636
when he sneezed oh oh and the last stop no i don't want to hear any more all i could see was that those men were really nice my dear you must know that beauty.,English,159,5.075173815233827
isn't everything mother you have to realize i deserve someone like a prince or a knight.,English,88,4.48863636973214
oh dear one night when she was sleeping her mother sat at her side watching her.,English,80,4.394449154672439
my dear child you are so beautiful and lovely but you do not care about anything other than your beauty.,English,104,4.653960350157523
at that moment narcissus started to laugh in her sleep her mother was extremely surprised how nice she must be having a really funny dream the next morning when narcissus.,English,171,5.147494476813453
l woke up she was all smiles and giggles here sweetheart tell me what did you dream about.,English,90,4.51085950651685
last night well mom it was such an amazing dream you know there was this prince who came up to me.,English,98,4.59511985013459
and said that he wanted to marry me he had come in a golden carriage and he was dressed from top to bottom and gold as well what a silly dream.,English,143,4.969813299576001
and you know the best part of it was when i was in my wedding dress which was of gold too of course everyone was staring at only me narcisa there is nothing amazing about that dream.,English,182,5.209486152841421
it was a very egotistical dream mom you don't know what you're saying that dream has made me realize that i need food much grander than the type i eat here at home bread made of gold.,English,183,5.214935757608986
just think of that poor narcissus mother was so worried about her daughter and how.,English,83,4.430816798843313
she would live her life that day two friends came to visit narcissus mother they were mellie and terry the three of them had been friends for ages but terry and ellie had a secret both of them.,English,193,5.267858159063328
that would be wonderful wouldn't it well no matter i guess in time she will grow to learn let's talk about something else.,English,122,4.812184355372417
now later on mellie and terry waved goodbye to their old friend and went away smiling to each other secretively that night both mother and daughter.,English,148,5.003946305945459
got ready for bed mother i really hope my dream comes true you know oh narcisa the next day as narcisa and her mother were outside in their garden a beautiful.,English,159,5.075173815233827
golden carriage came riding up to them it was studded in gems and diamonds and looked extremely stunning.,English,105,4.663439094112067
as it stopped a handsome man came out of it and looked at narcisa she was completely taken aback at how handsome he was my dream is actually coming true umm.,English,157,5.062595033026967
what hello i have come here to ask for narcissus hand in marriage but how do you know her name and who are you.,English,111,4.718498871295094
i am terrence the angel of good fortunes your daughter's name and beauty is known throughout the world here i've brought you a gift what but you hardly know him you can't go with him.,English,183,5.214935757608986
oh silly he's rich and handsome what more could i want terrence i accept your proposal.,English,87,4.477336814478207
and with that she got into his carriage and without even saying goodbye to her mother rode off with the angel as they were travelling the carriage suddenly entered a magical portal there it traveled through a stormy area the carriage bumped around tremendously and narcissa.,English,274,5.616771097666572
was very scared don't worry my dear all of this will soon be over just as he said this the carriage went through another portal and reached the driveway.,English,153,5.0369526024136295
of rubies the salads of emeralds and the bread over there is made of gold golden bread how lovely this jam will look and taste lovely with the bread she took a slice with the.,English,175,5.170483995038151
ruby jam on it and took a huge bite this is so hot i can't eat this well it is bread made of gold and the finest too but if you can't eat it should i get you silver bread silver huh why don't you eat.,English,200,5.303304908059076
something else but i want normal bread bread which i can eat don't you have that look so wife-to-be of my sire shell it's cold you must only eat the best narcis l looked at all the food.,English,186,5.231108616854587
but was heartbroken for everything there was inedible she soon started to cry i don't want this but the food is really good.,English,124,4.8283137373023015
here try some golden potatoes they're really good and after you're married to me.,English,81,4.406719247264253
you'll have to eat all of this i thought you liked fancy things no i don't want to marry you i want to go home.,English,111,4.718498871295094
to my mother let me go home melissa and terrence looked at each other and winked well.,English,86,4.465908118654584
if that's really what you want then i'll take you home terrence took the crying and unhappy.,English,92,4.532599493153256
narcis at home in the carriage she started to think deeply about the choices she had made when she reached home.,English,112,4.727387818712341
she ran to hug her mother who was sitting in the house sad nor sister o my sweet daughter i thought i'd never see you again.,English,124,4.8283137373023015
oh mom i love you so much and you were right looks and riches aren't everything the gold bread was useless as i couldn't eat it and the man even though.,English,152,5.030437921392435
he was handsome he didn't care for me at all but my dear do you realize that that is exactly the way you treated others i know i'm so sorry for the way i acted mom oh no it's alright since you've seen.,English,201,5.308267697401205
what your mistake was come let's feed you something nice from that day onwards.,English,79,4.382026634673881
narcisa changed her ways she struggled at first but slowly and patiently she started to become a lot nicer one day mellie and terry came to meet marian again oh hello you two so tell us marian.,English,193,5.267858159063328
how's narcissism now marian told them both everything that had happened and she's changed so much from that time.,English,113,4.736198448394496
has she i guess she wouldn't want any more gold bread now huh you know.,English,71,4.276666119016055
terry you actually look a little like that angel though what am i seeing how could you be him you two are so nice,English,113,4.736198448394496
"ഭൗതികപ്രപഞ്ചത്തെ മൊത്തത്തിൽ സൂചിപ്പിക്കുന്ന പദമാണ് പ്രകൃതി (ജർമൻ: Natur, ഫ്രഞ്ച്, ഇംഗ്ലീഷ്: Nature, സ്പാനിഷ്: Naturaleza, പോർച്ചുഗീസ്: Natureza).",Malayalam,145,4.983606621708336
ഭൗതികപ്രതിഭാസങ്ങളും ജീവനും പ്രകൃതിയുടെ ഘടകങ്ങളാണ്.,Malayalam,50,3.9318256327243257
മനുഷ്യനിർമിതമായ വസ്തുക്കളെ പ്രകൃതിയുടെ ഭാഗമായി കണക്കാക്കാറില്ല.,Malayalam,63,4.1588830833596715
അവയെ കൃത്രിമം എന്ന് വിശേഷിപ്പിക്കുന്നുഅഭിപ്രായസ്വാതന്ത്ര്യം ഇംഗ്ലീഷ് പദമായ nature എന്നതിൻറെ ഉൽപത്തി ലാറ്റിൻ പദമായ natura എന്നതിൽ നിന്നാണ്.,Malayalam,138,4.9344739331306915
പ്രകൃതി എന്ന പദം പ്രപഞ്ചത്തെയും അതിലെ സമസ്ത പ്രതിഭാസങ്ങളെയും ഉൾ‍ക്കൊള്ളുന്നു.,Malayalam,77,4.356708826689592
അറിയപ്പെടുന്ന ഗ്രഹങ്ങളിൽ ജീവൻ നിലനിൽക്കുന്നതായി അറിവുള്ള ഏകഗ്രഹമാണ് ഭൂമി.,Malayalam,73,4.30406509320417
സൗരയൂഥത്തിൽ സൂര്യനിൽ നിന്ന് മൂന്നാം സ്ഥാനമാണ് ഭൂമിക്ക് ഉള്ളത്.,Malayalam,62,4.143134726391533
പ്രപഞ്ചത്തിലെ വസ്തുക്കളുടെ അന്തരീക്ഷത്തിന് പുറത്തുള്ള താരതമ്യേന ശൂന്യമായ സ്ഥലത്തെ ബഹിരാകാശം എന്ന് പറയുന്നു(?).,Malayalam,110,4.709530201312334
"ദർശനം ശാസ്ത്രം ==കുറിപ്പുകളും അവലംബങ്ങളും==ഉരുൾപൊട്ടൽ   The image must be attributed with a credit line reading ""Reprinted by permission from Macmillan Publishers Ltd: Nature {{{1}}}, copyright {{{2}}}"", and a hyperlink to nature's homepage.",Malayalam,241,5.488937726156687
ലാഭേച്ഛയില്ലാതെ പ്രവർത്തിക്കുന്ന വിക്കിമീഡിയ ഫൗണ്ടേഷന്റെ പിന്തുണയോടെയാണ് ഈ പദ്ധതി പ്രവർത്തിക്കുന്നത്.,Malayalam,101,4.624972813284271
വിക്കിപീഡിയയിലെ ഉള്ളടക്കം ഗ്നൂ സ്വതന്ത്ര പ്രസിദ്ധീകരണാനുമതി പ്രകാരം ലഭ്യമായതിനാൽ എപ്പോഴും സ്വതന്ത്രവും സൗജന്യവും ആയിരിക്കും.,Malayalam,124,4.8283137373023015
എങ്കിലും ചില പതിപ്പുകളിൽ സ്വതന്ത്രമല്ലാത്ത ഉള്ളടക്കവും നിലവിലുണ്ട്.,Malayalam,67,4.219507705176107
"വിക്കിപീഡിയ എന്ന പേര്, വിക്കി, എൻസൈക്ലോപീഡിയ എന്നീ പദങ്ങളുടെ ഒരു മിശ്രശബ്ദമാണ്.",Malayalam,79,4.382026634673881
ലോകം മുഴുവനും വ്യാപിച്ചു കിടക്കുന്ന സന്നദ്ധ സേവന  തൽപരരായ ഉപയോക്താക്കൾ  സഹകരണത്തോടെ പ്രവർത്തിച്ചാണ് വിക്കിപീഡിയയിൽ ലേഖനങ്ങൾ എഴുതുന്നത്‌.,Malayalam,136,4.919980925828125
"ലേഖനം എഴുതുവാനും,  മിക്കവാറും എല്ലാ ലേഖനങ്ങളും തിരുത്തി എഴുതുവാനും ഏവർക്കും സ്വാതന്ത്ര്യവും സൗകര്യവും വിക്കിപീഡിയ അനുവദിക്കുന്നുണ്ട്.",Malayalam,133,4.897839799950911
"ജിമ്മി വെയിൽ‌സ്, ലാറി സാങർ എന്നിവർ 2001 ജനുവരി 15നാണ്‌ വിക്കിപീഡിയ പദ്ധതിക്ക് തുടക്കംകുറിച്ചത്‌.",Malayalam,96,4.574710978503383
വിദഗ്ദ്ധന്മാർ ലേഖനങ്ങളെഴുതിയ നൂപീഡിയ എന്ന വെബ്‌ വിജ്ഞാനകോശത്തിന്റെ പൂരകസംവിധാനമായാണ്‌ വിക്കിപീഡിയ ആരംഭിച്ചത്‌.,Malayalam,110,4.709530201312334
ജനകീയ പങ്കാളിത്തത്തിലൂടെ മാതൃവെബ്‌സൈറ്റിനെക്കാൾ പ്രശസ്തി കൈവരിക്കാൻ വിക്കിപീഡിയയ്ക്ക് സാധിച്ചു.,Malayalam,95,4.564348191467836
ഇന്ന് ഇന്റർനെറ്റിൽ ഏറ്റവും പ്രശസ്തമായ പൊതു-അവലംബ ഉദ്യമമായി വിക്കിപീഡിയ കണക്കാക്കപ്പെടുന്നു.വിക്കിസോഫ്‌റ്റ്‌വെയർ എന്ന സംവിധാനമാണ്‌ ഈ സ്വതന്ത്രവിജ്ഞാനകോശത്തിന്റെ അടിസ്ഥാനം.,Malayalam,170,5.14166355650266
292 ഭാഷകളിൽ വിക്കിപീഡിയയുടെ പതിപ്പുകളുണ്ട്‌.,Malayalam,44,3.8066624897703196
"6,113,330 ൽ അധികം  ലേഖനങ്ങളുള്ള ഇംഗ്ലീഷ്‌ പതിപ്പാണ്‌ (http://en.wikipedia.org) ഈ സംരംഭത്തിന്റെ പതാകവാഹക.",Malayalam,104,4.653960350157523
മലയാളമടക്കം 20 ഇന്ത്യൻഭാഷകളിലും വിക്കിപീഡിയ പ്രവർത്തിക്കുന്നു.,Malayalam,62,4.143134726391533
ആർക്കും എഴുതാവുന്ന ഒരു സ്വതന്ത്രവിജ്ഞാനകോശം എന്ന ആശയം സ്വതന്ത്ര സോഫ്റ്റ് വെയറിന്റെ പ്രണേതാവായ റിച്ചാർഡ് സ്റ്റാൾമാൻ 1999-ൽ മുന്നോട്ടു വച്ചിരുന്നു[5][6].,Malayalam,151,5.0238805208462765
ആ ആശയത്തിനെ പ്രാവർത്തികമാക്കാനുള്ള ആദ്യശ്രമം റിക്ക് ഗേറ്റ്സിന്റെ ഇന്റർപീഡിയ ആയിരുന്നു[7][8].,Malayalam,92,4.532599493153256
എങ്കിലും അത്‌ പ്ലാനിങ് ഘട്ടം കഴിഞ്ഞ് അധികം മുന്നോട്ടുപോയില്ല.,Malayalam,61,4.127134385045092
അതത് വിഷയങ്ങളിലെ പ്രമുഖരുടെ ലേഖനങ്ങൾക്ക്‌ പ്രാധാന്യം കൊടുത്തുകൊണ്ടുള്ള ന്യൂപീഡിയ ആയിരുന്നു അടുത്തത്‌.,Malayalam,101,4.624972813284271
ജിമ്മി വെയിൽ‌സും സഹായി ലാരി സാങറും ആയിരുന്നു അതിന്റെ ശിൽപ്പികൾ[9][10].,Malayalam,70,4.2626798770413155
"ലേഖനങ്ങളുടെ ഗുണമേന്മയ്ക്കു കൊടുത്തിരുന്ന അമിതപ്രാധാന്യമാവാം, അതിന്റെ വളർച്ച മെല്ലെയായിരുന്നു.",Malayalam,93,4.543294782270004
"അതുകൊണ്ട്‌, ന്യൂപീഡിയയെ സഹായിക്കാനായി പൊതുജനങ്ങൾക്കെല്ലാം ഒരു പോലെ എഡിറ്റ് ചെയ്യാനാവുന്ന വിക്കിപീഡിയ എന്ന സംരംഭം ജിമ്മി വെയിൽ‌സും സഹായി ലാരി സാങറും ചേർന്ന് ആരംഭിച്ചു.",Malayalam,166,5.117993812416755
വിദഗ്ദ്ധന്മാർ ലേഖനങ്ങളെഴുതിയ നൂപീഡിയ എന്ന വെബ് വിജ്ഞാനകോശത്തിന്റെ പൂരകസംവിധാനമായി ആരംഭിച്ച വിക്കിപീഡിയ ജനകീയ പങ്കാളിത്തത്തിലൂടെ മാതൃവെബ്സൈറ്റിനെയും കടത്തി വെട്ടി കാലാന്തരത്തിൽ തനതുവ്യക്തിത്വമുള്ള ഏറ്റവും വലിയ സ്വതന്ത്രവിജ്ഞാനകോശമായി മാറി.,Malayalam,238,5.476463551931511
[അവലംബം ആവശ്യമാണ്] അനേകം എഴുത്തുകാരുടേയും വായനക്കാരുടേയും സഹകരണത്തോടെ സൃഷ്ടിക്കപ്പെട്ടിരിക്കുന്ന ഒരു സ്വതന്ത്ര ഓൺ‌ലൈൻ വിജ്ഞാനകോശമാണ് വിക്കിപീഡിയ.,Malayalam,145,4.983606621708336
"വിക്കിപീഡിയയാണ് ഇന്നുള്ള ഏറ്റവും വലിയ വിക്കി[11]
[12].",Malayalam,54,4.007333185232471
2001 ജനുവരി 15-നാണ് വിക്കിപീഡിയ പ്രൊജക്റ്റിനു തുടക്കംകുറിച്ചത്.,Malayalam,63,4.1588830833596715
ലക്ഷക്കണക്കിന് ഉപയോക്താക്കൾ തന്നെയാണ് ലാഭേച്ഛയില്ലാതെ വിക്കിപീഡിയയിലെ ലേഖനങ്ങൾ എഴുതുന്നത്.,Malayalam,90,4.51085950651685
വിക്കിപീഡിയ വെബ് പേജില് ലേഖനങ്ങളെഴുതാനും അവ തിരുത്തുവാനും ഏവർക്കും സ്വാതന്ത്ര്യവും സൗകര്യവും നല്കുന്ന വിക്കിസോഫ്റ്റ് വെയർ ആണ് ഈ സ്വതന്ത്രവിജ്ഞാനകോശത്തിന്റെ അടിസ്ഥാനം.,Malayalam,166,5.117993812416755
വളരെയധികം ഉപയോക്താക്കൾ തുടർച്ചയായി വിക്കിപീഡിയ മെച്ചപ്പെടുത്തുന്നുണ്ട്.,Malayalam,71,4.276666119016055
ആയിരക്കണക്കിനു മാറ്റങ്ങൾ ഒരോ മണിക്കൂറിലും അവർ‍ നടത്തുന്നുമുണ്ട്.,Malayalam,64,4.174387269895637
ഈ മാറ്റങ്ങൾ എല്ലാംതന്നെ വിക്കിപീഡിയ സൂക്ഷിച്ച് വെക്കുന്നുണ്ട്.,Malayalam,62,4.143134726391533
അനാവശ്യ മാറ്റങ്ങൾ വളരെ പെട്ടെന്നു തന്നെ സാധാരണയായി ഒഴിവാക്കാറുണ്ട്.,Malayalam,67,4.219507705176107
അതുപോലെ തുടർച്ചയായി ശല്യപ്പെടുത്തുന്ന നിയമവിരുദ്ധരെ മാറ്റങ്ങൾ വരുത്തുന്നതിൽ നിന്നും തടയാറുണ്ട്.,Malayalam,95,4.564348191467836
നിലവിൽ301 ഭാഷകളിൽ വിക്കിപീഡിയയുടെ പതിപ്പുകളുണ്ട്.,Malayalam,49,3.912023005428146
മൃതമായി കൊണ്ടിരുന്ന പല ഭാഷകളും ലിപികളും വിക്കിപീഡിയയുടെ പ്രവർത്തനങ്ങളിലൂടെ പുനർജീവിച്ചു കൊണ്ടിരിക്കുന്നു[13].,Malayalam,109,4.700480365792417
നാല്പത്തഞ്ച് ലക്ഷത്തിനടുത്ത് ലേഖനങ്ങളുള്ള വിക്കിപീഡിയയുടെ ഇംഗ്ലീഷ് പതിപ്പാണ് ഈ സംരംഭത്തിന്റെ പതാകവാഹക‍.,Malayalam,103,4.6443908991413725
തുടങ്ങിയ ആദ്യവർഷത്തിൽ തന്നെ ഇംഗ്ലീഷ് വിക്കിപീഡിയയിലെ ലേഖനങ്ങളുടെ എണ്ണം ഇരുപതിനായിരം കവിഞ്ഞു.,Malayalam,92,4.532599493153256
ഒരു ദിവസം 6 ലക്ഷത്തിൽ കൂടുതൽ ആളുകൾ ഇംഗ്ലീഷ് വിക്കിപീഡിയ റഫർ ചെയ്യുന്നു.,Malayalam,71,4.276666119016055
മലയാളമടക്കം 21 ഇന്ത്യൻഭാഷകളിലും വിക്കിപീഡിയ പ്രവർത്തിക്കുന്നു.,Malayalam,62,4.143134726391533
"മലയാളം വിക്കിപീഡിയയിൽ നിലവിൽ 71,820 ഓളം ലേഖനങ്ങൾ ഉണ്ട്.",Malayalam,55,4.02535169073515
വിക്കിപീഡിയയിലെ ഉള്ളടക്കം ഗ്നു (GNU) Free Documentation License-നാൽ നിയന്ത്രിക്കപ്പെട്ടിരിക്കുന്നു.,Malayalam,99,4.605170185988092
അതിനാൽ വിക്കിപീഡിയയിലെ ഉള്ളടക്കം എല്ലാക്കാലവും സ്വതന്ത്രവും സൗജന്യവും ആയിരിക്കും.,Malayalam,81,4.406719247264253
ലാഭേച്ഛകൂടാതെ പ്രവർത്തിക്കുന്ന വിക്കിമീഡിയ ഫൗണ്ടേഷൻ എന്ന സ്ഥാപനമാണ് ഇപ്പോൾ വിക്കിപീഡിയയെ നിയന്ത്രിക്കുന്നത്.,Malayalam,108,4.6913478822291435
വിക്കിപീഡിയ ഒരു ഓൺ‌ലൈൻ വിജ്ഞാനകോശമാണ്.,Malayalam,38,3.6635616461296463
"അറിവു പങ്കു വെയ്കാനും, ഉയർന്ന ഗുണമേന്മയുള്ള വിജ്ഞാനകോശം സൃഷ്ടിക്കണമെന്ന് ആഗ്രഹിക്കുകയും, പരസ്പരബഹുമാനവും, വിജ്ഞാനതൃഷ്ണയുമുള്ള ഓൺലൈൻ സമൂഹമാണ് വിക്കിപീഡിയയുടെ ശക്തി.",Malayalam,163,5.099866427824199
അതുകൊണ്ടൊക്കെ തന്നെ വിക്കിപീഡിയ ചിലമേഖലകളെ പ്രതിനിധാനം ചെയ്യുന്നില്ല.,Malayalam,69,4.248495242049359
സ്വന്തം കണ്ടെത്തലുകളും കാഴ്ചപ്പാടുകളും മാറ്റിനിർത്തി ലേഖനങ്ങളെഴുതുക എന്നതാണ് വിക്കിപീഡിയയുടെ ശൈലിയും കീഴ്‌വഴക്കവും.,Malayalam,115,4.7535901911063645
അതായത് എഴുതപ്പെടുന്ന കാര്യങ്ങൾക്ക് വ്യക്തമായ തെളിവുകളുണ്ടാകണം.,Malayalam,62,4.143134726391533
പത്രമാസികകളും ഇതര പ്രസിദ്ധീകരണങ്ങളും ഉദ്ധരിച്ചാണ് മിക്കവാറും വിക്കിപീഡിയയിലെ ലേഖനങ്ങൾ എഴുതപ്പെടുന്നത്.,Malayalam,102,4.634728988229636
വിശ്വാസയോഗ്യമായ രേഖകൾ പരിശോധിച്ച് ലേഖനങ്ങളെഴുതുക എന്നതു തുടക്കത്തിൽ ശ്രമകരമായിത്തോന്നാം.,Malayalam,88,4.48863636973214
എന്നാൽ വിക്കിപീഡിയയിലെ സജീവ പ്രവർത്തനത്തിലൂടെ ഇക്കാര്യത്തിലും പരിചയം നേടിയെടുക്കാവുന്നതേയുള്ളൂ.,Malayalam,95,4.564348191467836
എഴുതുന്ന കാര്യങ്ങൾക്കെല്ലാം തെളിവുകൾ വേണം എന്നതുകൊണ്ട് എല്ലാവരികൾക്കും ഉറവിടം ചേർത്തുകൊള്ളണം എന്നില്ല.,Malayalam,102,4.634728988229636
